"","id","player_of_match","toss_winner","t","winner","result","result_margin","eliminator","method","umpire_team","Field","FieldValue","TeamNumber","Team"
"1",335982,"BB McCullum","Royal Challengers Bangalore","field","Kolkata Knight Riders","runs",140,"N",NA,"Asad Rauf/RE Koertzen","city","Bangalore","team1","Royal Challengers Bangalore"
"2",335983,"MEK Hussey","Chennai Super Kings","bat","Chennai Super Kings","runs",33,"N",NA,"MR Benson/SL Shastri","city","Chandigarh","team1","Kings XI Punjab"
"3",335984,"MF Maharoof","Rajasthan Royals","bat","Delhi Daredevils","wickets",9,"N",NA,"Aleem Dar/GA Pratapkumar","city","Delhi","team1","Delhi Daredevils"
"4",335985,"MV Boucher","Mumbai Indians","bat","Royal Challengers Bangalore","wickets",5,"N",NA,"SJ Davis/DJ Harper","city","Mumbai","team1","Mumbai Indians"
"5",335986,"DJ Hussey","Deccan Chargers","bat","Kolkata Knight Riders","wickets",5,"N",NA,"BF Bowden/K Hariharan","city","Kolkata","team1","Kolkata Knight Riders"
"6",335987,"SR Watson","Kings XI Punjab","bat","Rajasthan Royals","wickets",6,"N",NA,"Aleem Dar/RB Tiffin","city","Jaipur","team1","Rajasthan Royals"
"7",335988,"V Sehwag","Deccan Chargers","bat","Delhi Daredevils","wickets",9,"N",NA,"IL Howell/AM Saheba","city","Hyderabad","team1","Deccan Chargers"
"8",335989,"ML Hayden","Mumbai Indians","field","Chennai Super Kings","runs",6,"N",NA,"DJ Harper/GA Pratapkumar","city","Chennai","team1","Chennai Super Kings"
"9",335990,"YK Pathan","Rajasthan Royals","field","Rajasthan Royals","wickets",3,"N",NA,"Asad Rauf/MR Benson","city","Hyderabad","team1","Deccan Chargers"
"10",335991,"KC Sangakkara","Mumbai Indians","field","Kings XI Punjab","runs",66,"N",NA,"Aleem Dar/AM Saheba","city","Chandigarh","team1","Kings XI Punjab"
"11",335992,"SR Watson","Rajasthan Royals","field","Rajasthan Royals","wickets",7,"N",NA,"MR Benson/IL Howell","city","Bangalore","team1","Royal Challengers Bangalore"
"12",335993,"JDP Oram","Kolkata Knight Riders","bat","Chennai Super Kings","wickets",9,"N",NA,"BF Bowden/AV Jayaprakash","city","Chennai","team1","Chennai Super Kings"
"13",335994,"AC Gilchrist","Deccan Chargers","field","Deccan Chargers","wickets",10,"N",NA,"Asad Rauf/SL Shastri","city","Mumbai","team1","Mumbai Indians"
